year,resource_mining,vehicles_manufacturing,finance,inflation
2000,5940,2454,5232,20.2
2001,9099,3665,8885,18.58
2002,11081,5100,13246,15.06
2003,13912,6365,15561,11.99
2004,16842,7828,17384,11.74
2005,19727,9377,22464,10.91
2006,23145,11431,27886,9
2007,28108,14014,34880,11.87
2008,33206,17331,41872,13.28
2009,35363,17368,42373,8.8
2010,39895,20766,50120,8.78
2011,45132,24503,55789,6.1
2012,50401,27660,58999,6.58
2013,54161,30724,63333,6.45
2014,58959,33736,68565,11.36
2015,63695,36139,70088,12.91
2016,69936,39603,80289,5.38
2017,74474,38133,84904,2.52
2018,83178,42015,91070,4.27
2019,89344,45378,103668,3.05
2020,95359,46549,112680,4.91
2021,103474,53236,130223,8.39
2022,118376,58518,146637,11.92
2023,130826,70376,169106,7.42
